antecedent	consequent	count	mean_confidence	max_confidence	mean_lift	max_lift
h@GO0097159	v@GO0033647	2	0.8067	0.8496	0.3978	0.4189
h@GO1901363	v@GO0033647	2	0.8067	0.8496	0.3978	0.4189
h@GO0005737	v@GO0019222	1	0.8099	0.8099	0.1987	0.1987
h@GO0005737	v@GO0033647	1	0.8843	0.8843	0.436	0.436
h@GO0005737	v@GO0050794	1	0.8264	0.8264	0.2745	0.2745
v@GO0002682	h@GO0006807	7	0.75	0.7844	0.3945	0.4125
v@GO0006807	h@GO0006807	6	0.7282	0.7523	0.383	0.3957
v@GO0009058	h@GO0006807	11	0.7264	0.7857	0.382	0.4132
v@GO0009605	h@GO0006807	7	0.7484	0.7815	0.3936	0.411
v@GO0009607	h@GO0006807	7	0.7484	0.7815	0.3936	0.411
v@GO0019048	h@GO0006807	12	0.7281	0.7628	0.383	0.4012
v@GO0033647	h@GO0006807	5	0.7283	0.7634	0.3831	0.4015
v@GO0044237	h@GO0006807	6	0.7391	0.7966	0.3887	0.419
v@GO0044238	h@GO0006807	6	0.7282	0.7523	0.383	0.3957
v@GO0044419	h@GO0006807	13	0.7236	0.7524	0.3806	0.3957
v@GO0048519	h@GO0006807	10	0.7429	0.7833	0.3907	0.412
v@GO0048583	h@GO0006807	7	0.7496	0.7844	0.3943	0.4125
v@GO0050690	h@GO0006807	7	0.7484	0.7815	0.3936	0.411
v@GO0051707	h@GO0006807	7	0.7484	0.7815	0.3936	0.411
v@GO0071704	h@GO0006807	6	0.7282	0.7523	0.383	0.3957
v@GO0030430	h@GO0006807	17	0.7627	0.7953	0.4012	0.4183
v@GO0097159	h@GO0006807	17	0.7604	0.8197	0.3999	0.4311
v@GO1901363	h@GO0006807	17	0.7604	0.8197	0.3999	0.4311
v@GO0050794	h@GO0006807	11	0.7298	0.7493	0.3839	0.3941
v@GO0033655	h@GO0006807	3	0.7203	0.7261	0.3788	0.3819
v@GO0019046	h@GO0006807	2	0.7157	0.7196	0.3764	0.3785
v@GO0023051	h@GO0006807	5	0.7652	0.7903	0.4024	0.4157
v@GO0043167	h@GO0006807	1	0.7232	0.7232	0.3803	0.3803
h@GO0006955	v@GO0033647	1	0.725	0.725	0.3575	0.3575
h@GO0031090	v@GO0033647	1	0.725	0.725	0.3575	0.3575
h@GO0030529	v@GO0019222	3	0.7504	0.7967	0.1841	0.1955
h@GO0009058	v@GO0019222	1	0.7932	0.7932	0.1946	0.1946
h@GO0016020	v@GO0019222	1	0.804	0.804	0.1973	0.1973
h@GO0016020	v@GO0033647	2	0.8093	0.8844	0.399	0.4361
h@GO0016020	v@GO0050794	1	0.8392	0.8392	0.2787	0.2787
v@GO0002682	h@GO0016020	6	0.8476	0.8748	0.5026	0.5188
v@GO0016020	h@GO0016020	17	0.7957	0.9018	0.4719	0.5348
v@GO0009605	h@GO0016020	6	0.8354	0.8764	0.4954	0.5197
v@GO0009607	h@GO0016020	6	0.8354	0.8764	0.4954	0.5197
v@GO0019048	h@GO0016020	6	0.7962	0.8771	0.4722	0.5202
v@GO0023051	h@GO0016020	8	0.8634	0.9452	0.512	0.5605
v@GO0033647	h@GO0016020	9	0.7945	0.9088	0.4712	0.5389
v@GO0044419	h@GO0016020	9	0.8299	0.9452	0.4921	0.5605
v@GO0048519	h@GO0016020	10	0.869	0.9452	0.5154	0.5605
v@GO0050690	h@GO0016020	6	0.8354	0.8764	0.4954	0.5197
v@GO0050794	h@GO0016020	5	0.7469	0.7774	0.4429	0.461
v@GO0051707	h@GO0016020	6	0.8354	0.8764	0.4954	0.5197
v@GO0019033	h@GO0016020	1	0.8418	0.8418	0.4992	0.4992
v@GO0030430	h@GO0016020	1	0.8418	0.8418	0.4992	0.4992
h@GO0030054	v@GO0019222	2	0.7841	0.8156	0.1924	0.2001
h@GO0030054	v@GO0050794	2	0.8176	0.8511	0.2716	0.2827
h@GO0043227	v@GO0019222	1	0.7339	0.7339	0.1801	0.1801
h@GO0043227	v@GO0033647	1	0.824	0.824	0.4063	0.4063
h@GO0043227	v@GO0050794	1	0.7639	0.7639	0.2538	0.2538
h@GO0043228	v@GO0019222	1	0.7901	0.7901	0.1939	0.1939
h@GO0043228	v@GO0050794	1	0.8107	0.8107	0.2693	0.2693
h@GO0043230	v@GO0019222	1	0.8425	0.8425	0.2067	0.2067
h@GO0043230	v@GO0050794	2	0.7938	0.8767	0.2637	0.2912
h@GO0044421	v@GO0019222	1	0.8487	0.8487	0.2083	0.2083
h@GO0044421	v@GO0050794	2	0.7921	0.8816	0.2631	0.2928
h@GO0044444	v@GO0019222	1	0.7702	0.7702	0.189	0.189
h@GO0044444	v@GO0033647	1	0.8427	0.8427	0.4155	0.4155
h@GO0044444	v@GO0050794	1	0.7944	0.7944	0.2639	0.2639
h@GO0048519	v@GO0019222	1	0.7992	0.7992	0.1961	0.1961
h@GO0048519	v@GO0050794	1	0.8201	0.8201	0.2724	0.2724
h@GO0050794	v@GO0033647	2	0.7415	0.783	0.3656	0.3861
h@GO0050794	v@GO0050794	1	0.7264	0.7264	0.2413	0.2413
h@GO0051234	v@GO0019222	1	0.7529	0.7529	0.1848	0.1848
h@GO0051234	v@GO0050794	1	0.7804	0.7804	0.2592	0.2592
h@GO0097159	v@GO0019222	1	0.7683	0.7683	0.1885	0.1885
h@GO0097159	v@GO0050794	1	0.7927	0.7927	0.2633	0.2633
h@GO1901363	v@GO0019222	1	0.7683	0.7683	0.1885	0.1885
h@GO1901363	v@GO0050794	1	0.7927	0.7927	0.2633	0.2633
h@IPR000504	v@GO0033647	4	0.7108	0.7308	0.3505	0.3603
v@GO0002682	h@GO0019222	6	0.722	0.7425	0.3509	0.3609
v@GO0006807	h@GO0019222	2	0.7553	0.7629	0.3671	0.3708
v@GO0009058	h@GO0019222	4	0.7407	0.7629	0.36	0.3708
v@GO0009605	h@GO0019222	6	0.7198	0.7425	0.3498	0.3609
v@GO0009607	h@GO0019222	6	0.7198	0.7425	0.3498	0.3609
v@GO0019048	h@GO0019222	4	0.7309	0.7487	0.3552	0.3639
v@GO0033647	h@GO0019222	1	0.7545	0.7545	0.3667	0.3667
v@GO0044237	h@GO0019222	3	0.7549	0.7629	0.3669	0.3708
v@GO0044238	h@GO0019222	2	0.7553	0.7629	0.3671	0.3708
v@GO0044419	h@GO0019222	3	0.7431	0.7571	0.3612	0.368
v@GO0048518	h@GO0019222	5	0.719	0.7624	0.3495	0.3705
v@GO0048519	h@GO0019222	6	0.7258	0.766	0.3527	0.3723
v@GO0048583	h@GO0019222	6	0.7226	0.7425	0.3512	0.3609
v@GO0050690	h@GO0019222	6	0.7198	0.7425	0.3498	0.3609
v@GO0051707	h@GO0019222	6	0.7198	0.7425	0.3498	0.3609
v@GO0065009	h@GO0019222	5	0.7256	0.7378	0.3526	0.3586
v@GO0071704	h@GO0019222	2	0.7553	0.7629	0.3671	0.3708
v@GO0030430	h@GO0019222	8	0.708	0.7251	0.3441	0.3524
v@GO0097159	h@GO0019222	14	0.7104	0.7453	0.3453	0.3622
v@GO1901363	h@GO0019222	14	0.7104	0.7453	0.3453	0.3622
v@GO0019079	h@GO0019222	4	0.7465	0.7542	0.3628	0.3666
v@GO0044094	h@GO0019222	5	0.7199	0.7322	0.3499	0.3559
v@GO0019222	h@GO0019222	4	0.7231	0.7629	0.3514	0.3708
v@GO0023051	h@GO0019222	3	0.7103	0.7114	0.3452	0.3458
v@GO0050794	h@GO0019222	3	0.7272	0.7629	0.3534	0.3708
h@GO0033036	v@GO0050794	1	0.7169	0.7169	0.2381	0.2381
h@GO0044767	v@GO0033647	1	0.7174	0.7174	0.3537	0.3537
h@GO0051641	v@GO0050794	1	0.7082	0.7082	0.2352	0.2352
h@GO0032991	v@GO0033647	2	0.7114	0.7143	0.3508	0.3522
h@GO0033218	v@GO0033647	4	0.7085	0.7143	0.3493	0.3522
v@GO0044094	h@GO0032991	9	0.7507	0.8538	0.3463	0.3939
v@GO0019048	h@GO0032991	1	0.7057	0.7057	0.3255	0.3255
v@GO0019083	h@GO0032991	1	0.7046	0.7046	0.325	0.325
v@GO0019222	h@GO0032991	1	0.7047	0.7047	0.3251	0.3251
v@GO0023051	h@GO0032991	3	0.7889	0.7903	0.3639	0.3646
v@GO0030430	h@GO0032991	2	0.8199	0.8538	0.3782	0.3939
v@GO0097159	h@GO0032991	2	0.8132	0.8361	0.3751	0.3857
v@GO1901363	h@GO0032991	2	0.8132	0.8361	0.3751	0.3857
v@GO0044419	h@GO0032991	2	0.7037	0.7046	0.3246	0.325
v@GO0050794	h@GO0032991	1	0.7078	0.7078	0.3265	0.3265
h@GO1902578	v@GO0033647	1	0.7103	0.7103	0.3502	0.3502
v@GO0044763	h@GO0043227	1	0.7048	0.7048	0.57	0.57
v@IPR001889	h@GO0043227	2	0.7327	0.7327	0.5926	0.5926
v@IPR027417	h@GO0043227	1	0.7184	0.7184	0.5811	0.5811
v@GO0023051	h@GO0043228	1	0.7164	0.7164	0.1965	0.1965
v@GO0030430	h@GO0043228	2	0.7471	0.7778	0.2049	0.2134
v@GO0044094	h@GO0043228	1	0.7778	0.7778	0.2134	0.2134
v@GO0003824	h@GO0043229	17	0.7174	0.7778	0.5596	0.6067
v@GO0016043	h@GO0043229	3	0.7405	0.8021	0.5776	0.6256
v@GO0036094	h@GO0043229	5	0.7243	0.7389	0.5649	0.5763
v@GO0044710	h@GO0043229	2	0.729	0.7357	0.5686	0.5739
v@GO0044763	h@GO0043229	7	0.7172	0.7429	0.5594	0.5794
v@GO0046794	h@GO0043229	1	0.7212	0.7212	0.5625	0.5625
v@GO1902579	h@GO0043229	1	0.7212	0.7212	0.5625	0.5625
v@GO0002682	h@GO0044237	7	0.738	0.7844	0.4093	0.435
v@GO0006807	h@GO0044237	7	0.7299	0.75	0.4048	0.4159
v@GO0009058	h@GO0044237	13	0.7274	0.8036	0.4034	0.4457
v@GO0009605	h@GO0044237	7	0.7358	0.7815	0.4081	0.4334
v@GO0009607	h@GO0044237	7	0.7358	0.7815	0.4081	0.4334
v@GO0019048	h@GO0044237	11	0.7254	0.7568	0.4023	0.4197
v@GO0033647	h@GO0044237	6	0.7287	0.7589	0.4041	0.4209
v@GO0044237	h@GO0044237	7	0.7397	0.8136	0.4102	0.4512
v@GO0044238	h@GO0044237	7	0.7299	0.75	0.4048	0.4159
v@GO0044419	h@GO0044237	12	0.7262	0.7476	0.4028	0.4146
v@GO0048519	h@GO0044237	8	0.7394	0.7833	0.4101	0.4344
v@GO0048583	h@GO0044237	7	0.7377	0.7844	0.4091	0.435
v@GO0050690	h@GO0044237	7	0.7358	0.7815	0.4081	0.4334
v@GO0051707	h@GO0044237	7	0.7358	0.7815	0.4081	0.4334
v@GO0065009	h@GO0044237	10	0.7325	0.7672	0.4063	0.4255
v@GO0071704	h@GO0044237	7	0.7299	0.75	0.4048	0.4159
v@GO0030430	h@GO0044237	18	0.7601	0.7895	0.4215	0.4378
v@GO0050794	h@GO0044237	15	0.7289	0.7546	0.4043	0.4185
v@GO0033655	h@GO0044237	3	0.7203	0.7261	0.3995	0.4027
v@GO0019046	h@GO0044237	4	0.7352	0.757	0.4077	0.4198
v@GO0043167	h@GO0044237	2	0.7156	0.7288	0.3969	0.4042
v@GO0023051	h@GO0044237	4	0.7683	0.7849	0.4261	0.4353
v@GO0002682	h@GO0044238	9	0.74	0.7844	0.4037	0.4279
v@GO0006807	h@GO0044238	7	0.7323	0.7478	0.3995	0.4079
v@GO0009058	h@GO0044238	18	0.7233	0.7857	0.3945	0.4286
v@GO0009605	h@GO0044238	8	0.7429	0.7815	0.4053	0.4263
v@GO0009607	h@GO0044238	8	0.7429	0.7815	0.4053	0.4263
v@GO0019048	h@GO0044238	12	0.733	0.7808	0.3998	0.4259
v@GO0033647	h@GO0044238	6	0.7249	0.7589	0.3954	0.414
v@GO0044237	h@GO0044238	7	0.7419	0.7966	0.4047	0.4345
v@GO0044238	h@GO0044238	7	0.7323	0.7478	0.3995	0.4079
v@GO0044419	h@GO0044238	14	0.7298	0.7605	0.3981	0.4148
v@GO0048519	h@GO0044238	10	0.7433	0.7833	0.4055	0.4273
v@GO0048583	h@GO0044238	9	0.7396	0.7844	0.4035	0.4279
v@GO0050690	h@GO0044238	8	0.7429	0.7815	0.4053	0.4263
v@GO0051707	h@GO0044238	8	0.7429	0.7815	0.4053	0.4263
v@GO0071704	h@GO0044238	7	0.7323	0.7478	0.3995	0.4079
v@GO0030430	h@GO0044238	18	0.7624	0.7953	0.4159	0.4338
v@GO0097159	h@GO0044238	17	0.7628	0.8306	0.4161	0.4531
v@GO1901363	h@GO0044238	17	0.7628	0.8306	0.4161	0.4531
v@GO0050794	h@GO0044238	15	0.73	0.7696	0.3982	0.4198
v@GO0033655	h@GO0044238	3	0.7307	0.7389	0.3986	0.403
v@GO0019046	h@GO0044238	2	0.7157	0.7196	0.3904	0.3926
v@GO0023051	h@GO0044238	5	0.7682	0.7903	0.4191	0.4311
v@GO0043167	h@GO0044238	1	0.7345	0.7345	0.4006	0.4006
v@GO0002682	h@GO0044425	2	0.7326	0.7327	0.2605	0.2606
v@GO0033655	h@GO0044425	10	0.7283	0.7423	0.259	0.264
v@GO0009605	h@GO0044425	2	0.7271	0.7338	0.2586	0.261
v@GO0009607	h@GO0044425	2	0.7271	0.7338	0.2586	0.261
v@GO0016020	h@GO0044425	3	0.7187	0.7414	0.2556	0.2637
v@GO0048583	h@GO0044425	8	0.7315	0.7534	0.2601	0.268
v@IPR026298	h@GO0044425	10	0.73	0.7534	0.2596	0.268
v@GO0019048	h@GO0044425	1	0.7353	0.7353	0.2615	0.2615
v@GO0023051	h@GO0044425	3	0.7534	0.7534	0.268	0.268
v@GO0033644	h@GO0044425	5	0.723	0.7438	0.2571	0.2645
v@GO0033647	h@GO0044425	3	0.727	0.7281	0.2586	0.259
v@GO0044217	h@GO0044425	5	0.723	0.7438	0.2571	0.2645
v@GO0044419	h@GO0044425	4	0.7355	0.7534	0.2616	0.268
v@GO0044425	h@GO0044425	2	0.7273	0.74	0.2587	0.2632
v@GO0048519	h@GO0044425	7	0.7283	0.7534	0.259	0.268
v@GO0050690	h@GO0044425	2	0.7271	0.7338	0.2586	0.261
v@GO0051707	h@GO0044425	2	0.7271	0.7338	0.2586	0.261
v@GO0001071	h@GO0044444	9	0.7402	0.75	0.5364	0.5435
v@GO0030430	h@GO0044444	20	0.7704	0.8544	0.5583	0.6191
v@GO0033647	h@GO0044444	29	0.762	0.8539	0.5521	0.6188
v@GO0097159	h@GO0044444	10	0.7321	0.7742	0.5304	0.561
v@GO1901363	h@GO0044444	10	0.7321	0.7742	0.5304	0.561
v@GO0006807	h@GO0044444	1	0.7192	0.7192	0.5211	0.5211
v@GO0009058	h@GO0044444	1	0.7225	0.7225	0.5235	0.5235
v@GO0016043	h@GO0044444	4	0.7185	0.7206	0.5206	0.5221
v@GO0019033	h@GO0044444	11	0.7724	0.8544	0.5597	0.6191
v@GO0036094	h@GO0044444	2	0.7289	0.7389	0.5282	0.5354
v@GO0044710	h@GO0044444	2	0.7193	0.7315	0.5212	0.53
v@GO0044763	h@GO0044444	7	0.7173	0.7524	0.5197	0.5452
v@GO0046794	h@GO0044444	1	0.7788	0.7788	0.5644	0.5644
v@GO0051234	h@GO0044444	1	0.7788	0.7788	0.5644	0.5644
v@GO0097367	h@GO0044444	3	0.7169	0.7436	0.5195	0.5388
v@GO1902579	h@GO0044444	1	0.7788	0.7788	0.5644	0.5644
v@IPR027417	h@GO0044444	4	0.7258	0.767	0.5259	0.5558
v@GO0019083	h@GO0044444	3	0.7799	0.8186	0.5652	0.5931
v@GO0044237	h@GO0044444	1	0.7192	0.7192	0.5211	0.5211
v@GO0044238	h@GO0044444	1	0.7192	0.7192	0.5211	0.5211
v@GO0071704	h@GO0044444	1	0.7192	0.7192	0.5211	0.5211
v@GO0016020	h@GO0044446	13	0.7141	0.7414	0.5124	0.532
v@GO0033644	h@GO0044446	14	0.7166	0.7419	0.5142	0.5323
v@GO0033655	h@GO0044446	19	0.7443	0.7962	0.5341	0.5713
v@GO0044217	h@GO0044446	14	0.7166	0.7419	0.5142	0.5323
v@GO0044425	h@GO0044446	12	0.7147	0.74	0.5129	0.531
v@GO0003824	h@GO0044446	2	0.7176	0.7197	0.5149	0.5164
v@GO0016043	h@GO0044446	1	0.7917	0.7917	0.5681	0.5681
v@GO0019033	h@GO0044446	3	0.7423	0.7911	0.5327	0.5677
v@GO0019046	h@GO0044446	4	0.7487	0.785	0.5372	0.5633
v@GO0043167	h@GO0044446	8	0.7236	0.7458	0.5192	0.5351
v@GO0016020	h@GO0044763	3	0.7168	0.7193	0.4349	0.4364
v@GO0030430	h@GO0044763	7	0.7376	0.7771	0.4475	0.4715
v@GO0065009	h@GO0044763	7	0.7354	0.7771	0.4462	0.4715
v@GO0019033	h@GO0044763	1	0.7342	0.7342	0.4455	0.4455
v@GO0019048	h@GO0044763	2	0.7771	0.7771	0.4715	0.4715
v@GO0019222	h@GO0044763	5	0.7388	0.7771	0.4482	0.4715
v@GO0033655	h@GO0044763	8	0.7331	0.7771	0.4448	0.4715
v@GO0044419	h@GO0044763	5	0.7358	0.7771	0.4464	0.4715
v@GO0050794	h@GO0044763	3	0.7524	0.7771	0.4565	0.4715
v@GO0033644	h@GO0044763	5	0.7171	0.7225	0.4351	0.4383
v@GO0044217	h@GO0044763	5	0.7171	0.7225	0.4351	0.4383
v@GO0023051	h@GO0044763	3	0.7055	0.7055	0.428	0.428
v@GO0044425	h@GO0044763	3	0.717	0.7178	0.435	0.4355
v@GO0033647	h@GO0044763	2	0.717	0.717	0.435	0.435
v@GO0048519	h@GO0044763	3	0.7083	0.7097	0.4297	0.4306
v@GO0048583	h@GO0044763	3	0.7055	0.7055	0.428	0.428
v@GO0002682	h@GO0050794	7	0.7152	0.7337	0.4646	0.4767
v@GO0006807	h@GO0050794	16	0.7263	0.8041	0.4719	0.5224
v@GO0009058	h@GO0050794	17	0.7433	0.8041	0.4829	0.5224
v@GO0009605	h@GO0050794	7	0.7133	0.7315	0.4634	0.4752
v@GO0009607	h@GO0050794	7	0.7133	0.7315	0.4634	0.4752
v@GO0019048	h@GO0050794	10	0.732	0.7707	0.4755	0.5007
v@GO0033647	h@GO0050794	5	0.7271	0.7615	0.4723	0.4947
v@GO0044237	h@GO0050794	16	0.7318	0.8136	0.4754	0.5285
v@GO0044238	h@GO0050794	16	0.7263	0.8041	0.4719	0.5224
v@GO0044419	h@GO0050794	4	0.7553	0.7707	0.4907	0.5007
v@GO0048519	h@GO0050794	7	0.7353	0.7527	0.4777	0.489
v@GO0048583	h@GO0050794	8	0.7174	0.7386	0.4661	0.4798
v@GO0050690	h@GO0050794	7	0.7133	0.7315	0.4634	0.4752
v@GO0051707	h@GO0050794	7	0.7133	0.7315	0.4634	0.4752
v@GO0065009	h@GO0050794	14	0.722	0.7707	0.4691	0.5007
v@GO0071704	h@GO0050794	16	0.7263	0.8041	0.4719	0.5224
v@GO0003824	h@GO0050794	1	0.75	0.75	0.4872	0.4872
v@GO0019222	h@GO0050794	14	0.7432	0.8041	0.4828	0.5224
v@GO0030430	h@GO0050794	12	0.728	0.7707	0.4729	0.5007
v@GO0097159	h@GO0050794	12	0.7229	0.8113	0.4697	0.5271
v@GO1901363	h@GO0050794	12	0.7229	0.8113	0.4697	0.5271
v@GO0023051	h@GO0050794	1	0.7455	0.7455	0.4843	0.4843
v@GO0016020	h@GO0050794	3	0.705	0.7076	0.458	0.4597
v@GO0019033	h@GO0050794	5	0.7227	0.7526	0.4695	0.4889
v@GO0050794	h@GO0050794	9	0.7474	0.8041	0.4855	0.5224
v@GO0033655	h@GO0050794	3	0.7633	0.7707	0.4959	0.5007
v@GO0019046	h@GO0050794	4	0.764	0.785	0.4963	0.51
v@GO0033644	h@GO0050794	3	0.7107	0.716	0.4617	0.4651
v@GO0043167	h@GO0050794	5	0.7168	0.7458	0.4656	0.4845
v@GO0044217	h@GO0050794	3	0.7107	0.716	0.4617	0.4651
v@GO0044425	h@GO0050794	2	0.707	0.7118	0.4593	0.4624
v@GO0002682	h@GO0071704	11	0.7454	0.7844	0.4252	0.4475
v@GO0006807	h@GO0071704	7	0.745	0.7752	0.425	0.4423
v@GO0009058	h@GO0071704	20	0.7357	0.8125	0.4197	0.4635
v@GO0009605	h@GO0071704	11	0.7433	0.7815	0.424	0.4458
v@GO0009607	h@GO0071704	11	0.7433	0.7815	0.424	0.4458
v@GO0019048	h@GO0071704	13	0.7443	0.7868	0.4246	0.4488
v@GO0033647	h@GO0071704	9	0.732	0.7857	0.4176	0.4482
v@GO0044237	h@GO0071704	8	0.749	0.822	0.4273	0.469
v@GO0044238	h@GO0071704	7	0.745	0.7752	0.425	0.4423
v@GO0044419	h@GO0071704	15	0.7391	0.7762	0.4216	0.4428
v@GO0048519	h@GO0071704	11	0.7525	0.7833	0.4293	0.4469
v@GO0048583	h@GO0071704	11	0.7449	0.7844	0.425	0.4475
v@GO0050690	h@GO0071704	11	0.7433	0.7815	0.424	0.4458
v@GO0051707	h@GO0071704	11	0.7433	0.7815	0.424	0.4458
v@GO0071704	h@GO0071704	7	0.745	0.7752	0.425	0.4423
v@GO0030430	h@GO0071704	18	0.7649	0.7953	0.4364	0.4537
v@GO0050794	h@GO0071704	15	0.7385	0.773	0.4213	0.441
v@GO0033655	h@GO0071704	3	0.7449	0.7516	0.4249	0.4288
v@GO0019046	h@GO0071704	2	0.7248	0.729	0.4135	0.4159
v@GO0023051	h@GO0071704	5	0.7712	0.7903	0.44	0.4509
v@GO0043167	h@GO0071704	1	0.7345	0.7345	0.419	0.419
v@GO0000988	h@GO0097159	2	0.7131	0.7131	0.3131	0.3131
v@GO0002682	h@GO0097159	4	0.741	0.7918	0.3253	0.3476
v@GO0030430	h@GO0097159	11	0.7945	0.924	0.3488	0.4057
v@GO0097159	h@GO0097159	12	0.7464	0.918	0.3277	0.403
v@GO1901363	h@GO0097159	12	0.7464	0.918	0.3277	0.403
v@GO0009605	h@GO0097159	4	0.7409	0.7889	0.3253	0.3463
v@GO0009607	h@GO0097159	4	0.7409	0.7889	0.3253	0.3463
v@GO0019048	h@GO0097159	3	0.7119	0.7119	0.3125	0.3126
v@GO0019083	h@GO0097159	1	0.7131	0.7131	0.3131	0.3131
v@GO0019222	h@GO0097159	1	0.7223	0.7223	0.3171	0.3171
v@GO0023051	h@GO0097159	4	0.8619	0.8978	0.3784	0.3942
v@GO0048519	h@GO0097159	4	0.7432	0.7667	0.3263	0.3366
v@GO0048583	h@GO0097159	4	0.7418	0.7918	0.3257	0.3476
v@GO0050690	h@GO0097159	4	0.7409	0.7889	0.3253	0.3463
v@GO0051707	h@GO0097159	4	0.7409	0.7889	0.3253	0.3463
v@GO0044419	h@GO0097159	2	0.7114	0.7131	0.3123	0.3131
v@GO0050794	h@GO0097159	1	0.7179	0.7179	0.3152	0.3152
v@GO0065009	h@GO0097159	3	0.7279	0.7469	0.3195	0.3279
v@GO0000988	h@GO1901363	2	0.7131	0.7131	0.3113	0.3113
v@GO0002682	h@GO1901363	4	0.741	0.7918	0.3235	0.3457
v@GO0030430	h@GO1901363	11	0.7945	0.924	0.3469	0.4034
v@GO0097159	h@GO1901363	12	0.7464	0.918	0.3259	0.4008
v@GO1901363	h@GO1901363	12	0.7464	0.918	0.3259	0.4008
v@GO0009605	h@GO1901363	4	0.7409	0.7889	0.3235	0.3444
v@GO0009607	h@GO1901363	4	0.7409	0.7889	0.3235	0.3444
v@GO0019048	h@GO1901363	3	0.7119	0.7119	0.3108	0.3108
v@GO0019083	h@GO1901363	1	0.7131	0.7131	0.3113	0.3113
v@GO0019222	h@GO1901363	1	0.7223	0.7223	0.3154	0.3154
v@GO0023051	h@GO1901363	4	0.8619	0.8978	0.3763	0.392
v@GO0048519	h@GO1901363	4	0.7432	0.7667	0.3245	0.3347
v@GO0048583	h@GO1901363	4	0.7418	0.7918	0.3239	0.3457
v@GO0050690	h@GO1901363	4	0.7409	0.7889	0.3235	0.3444
v@GO0051707	h@GO1901363	4	0.7409	0.7889	0.3235	0.3444
v@GO0044419	h@GO1901363	2	0.7114	0.7131	0.3106	0.3113
v@GO0050794	h@GO1901363	1	0.7179	0.7179	0.3134	0.3134
v@GO0065009	h@GO1901363	3	0.7279	0.7469	0.3178	0.3261
