antecedent	consequent	count	mean_confidence	max_confidence	mean_lift	max_lift
v@GO1901363	h@GO0043227	31	0.8365	0.918	0.6715	0.7425
v@GO1902579	h@GO0043227	5	0.7336	0.75	0.5934	0.6066
v@IPR000427	h@GO0043227	15	0.8434	0.882	0.6414	0.7134
v@IPR000635	h@GO0043227	1	0.9048	0.9048	0.7318	0.7318
v@IPR002475	h@GO0043227	12	0.8333	0.8699	0.64	0.7035
v@IPR004186	h@GO0043227	15	0.8434	0.882	0.6414	0.7134
v@IPR004289	h@GO0043227	3	0.7692	0.8357	0.5653	0.6759
v@IPR004290	h@GO0043227	3	0.7817	0.825	0.5738	0.6673
v@IPR005030	h@GO0043227	10	0.8284	0.9133	0.5825	0.7387
v@IPR006772	h@GO0043227	3	0.8118	0.8471	0.596	0.6851
v@IPR006928	h@GO0043227	4	0.7337	0.7358	0.5934	0.5952
v@IPR007619	h@GO0043227	7	0.8149	0.8544	0.618	0.6911
v@IPR007706	h@GO0043227	15	0.8573	0.9381	0.6093	0.7588
v@IPR010077	h@GO0043227	2	0.8445	0.8539	0.6831	0.6907
v@IPR010677	h@GO0043227	1	0.7647	0.7647	0.6185	0.6185
v@IPR010881	h@GO0043227	13	0.8461	0.8944	0.6314	0.7234
v@IPR010918	h@GO0043227	2	0.8445	0.8539	0.6831	0.6907
v@IPR013672	h@GO0043227	3	0.7293	0.74	0.5899	0.5985
v@IPR016188	h@GO0043227	2	0.8445	0.8539	0.6831	0.6907
v@IPR020124	h@GO0043227	12	0.7917	0.9122	0.4208	0.7378
v@IPR020726	h@GO0043227	8	0.8289	0.8699	0.6189	0.7035
v@IPR021152	h@GO0043227	1	0.7035	0.7035	0.569	0.569
v@IPR024346	h@GO0043227	2	0.8445	0.8539	0.6831	0.6907
v@IPR026298	h@GO0043227	14	0.835	0.8699	0.6465	0.7035
v@IPR029062	h@GO0043227	2	0.8445	0.8539	0.6831	0.6907
v@IPR034702	h@GO0043227	1	0.7358	0.7358	0.5952	0.5952
v@IPR020124	h@GO0043228	6	0.7658	0.7973	0.1634	0.2187
v@GO0000988	h@GO0043229	9	0.8183	0.935	0.5421	0.7293
v@GO0001071	h@GO0043229	26	0.8581	0.9208	0.6146	0.7182
v@GO0002682	h@GO0043229	37	0.83	0.9257	0.6444	0.722
v@GO0006807	h@GO0043229	30	0.8101	0.9175	0.6282	0.7157
v@GO0009058	h@GO0043229	29	0.8384	0.9175	0.65	0.7157
v@GO0009605	h@GO0043229	32	0.8245	0.9222	0.6397	0.7193
v@GO0009607	h@GO0043229	32	0.8245	0.9222	0.6397	0.7193
v@GO0016020	h@GO0043229	21	0.7521	0.8042	0.5867	0.6273
v@GO0019033	h@GO0043229	27	0.7431	0.8165	0.5796	0.6368
v@GO0019042	h@GO0043229	10	0.7845	0.795	0.5984	0.6201
v@GO0019046	h@GO0043229	6	0.8204	0.875	0.6399	0.6825
v@GO0019048	h@GO0043229	35	0.8172	0.9167	0.6367	0.715
v@GO0019079	h@GO0043229	17	0.7987	0.9375	0.5564	0.7313
v@GO0019083	h@GO0043229	17	0.8505	0.9325	0.6053	0.7274
v@GO0019222	h@GO0043229	39	0.8455	0.9175	0.6565	0.7157
v@GO0023051	h@GO0043229	30	0.8037	0.9502	0.626	0.7412
v@GO0030430	h@GO0043229	37	0.8219	0.9591	0.6404	0.7481
v@GO0032879	h@GO0043229	19	0.7973	0.8104	0.6037	0.6321
v@GO0033644	h@GO0043229	22	0.7581	0.805	0.5914	0.6279
v@GO0033647	h@GO0043229	43	0.8011	0.9062	0.6242	0.7069
v@GO0033655	h@GO0043229	29	0.7643	0.8165	0.5953	0.6368
v@GO0043167	h@GO0043229	26	0.755	0.9375	0.5889	0.7313
v@GO0043900	h@GO0043229	5	0.9306	0.9643	0.647	0.7522
v@GO0044094	h@GO0043229	31	0.8799	0.9617	0.6542	0.7502
v@GO0044217	h@GO0043229	22	0.7581	0.805	0.5914	0.6279
v@GO0044237	h@GO0043229	30	0.8158	0.9175	0.6325	0.7157
v@GO0044238	h@GO0043229	30	0.8101	0.9175	0.6282	0.7157
v@GO0044419	h@GO0043229	38	0.8203	0.9325	0.6392	0.7274
v@GO0044425	h@GO0043229	22	0.7494	0.8031	0.5845	0.6264
v@GO0048518	h@GO0043229	26	0.857	0.9208	0.6639	0.7182
v@GO0048519	h@GO0043229	39	0.8297	0.9267	0.6465	0.7228
v@GO0048583	h@GO0043229	39	0.8249	0.9257	0.6406	0.722
v@GO0050690	h@GO0043229	32	0.8245	0.9222	0.6397	0.7193
v@GO0050794	h@GO0043229	39	0.8293	0.9625	0.6439	0.7508
v@GO0051234	h@GO0043229	2	0.7109	0.7212	0.5545	0.5625
v@GO0051707	h@GO0043229	32	0.8245	0.9222	0.6397	0.7193
v@GO0065009	h@GO0043229	37	0.8293	0.9167	0.6438	0.715
v@GO0071704	h@GO0043229	30	0.8101	0.9175	0.6282	0.7157
v@GO0097159	h@GO0043229	31	0.8484	0.9617	0.6581	0.7502
v@GO0097367	h@GO0043229	9	0.7179	0.7436	0.56	0.58
v@GO1901363	h@GO0043229	31	0.8484	0.9617	0.6581	0.7502
v@IPR000427	h@GO0043229	19	0.844	0.9193	0.5874	0.717
v@IPR001889	h@GO0043229	3	0.7601	0.7723	0.5929	0.6024
v@IPR002475	h@GO0043229	12	0.7659	0.7877	0.5691	0.6144
v@IPR004186	h@GO0043229	19	0.844	0.9193	0.5874	0.717
v@IPR004289	h@GO0043229	3	0.7394	0.7793	0.5333	0.6079
v@IPR004290	h@GO0043229	3	0.7717	0.81	0.5564	0.6318
v@IPR005030	h@GO0043229	13	0.821	0.9336	0.5317	0.7282
v@IPR006772	h@GO0043229	4	0.7941	0.8588	0.5618	0.6699
v@IPR006928	h@GO0043229	4	0.7056	0.7075	0.5504	0.5519
v@IPR007619	h@GO0043229	7	0.7946	0.8362	0.5875	0.6522
v@IPR007706	h@GO0043229	14	0.8496	0.9175	0.5942	0.7157
v@IPR010881	h@GO0043229	10	0.7845	0.795	0.5984	0.6201
v@IPR013672	h@GO0043229	3	0.7706	0.78	0.6011	0.6084
v@IPR020124	h@GO0043229	12	0.8553	0.973	0.4564	0.7589
v@IPR020726	h@GO0043229	8	0.7661	0.7877	0.5548	0.6144
v@IPR026298	h@GO0043229	13	0.7713	0.7877	0.5914	0.6144
v@IPR027417	h@GO0043229	14	0.7277	0.7573	0.5676	0.5907
v@IPR034702	h@GO0043229	1	0.7075	0.7075	0.5519	0.5519
v@GO0000988	h@GO0044237	7	0.7283	0.7398	0.3856	0.4103
v@GO0001071	h@GO0044237	22	0.7408	0.7624	0.4048	0.4228
v@GO0019042	h@GO0044237	11	0.7263	0.7329	0.3954	0.4065
v@GO0019079	h@GO0044237	14	0.7536	0.8136	0.406	0.4512
v@GO0019083	h@GO0044237	15	0.7379	0.75	0.4006	0.4159
v@GO0019222	h@GO0044237	25	0.7289	0.7657	0.4011	0.4247
v@GO0043900	h@GO0044237	2	0.8869	0.8929	0.4629	0.4952
v@GO0044094	h@GO0044237	29	0.7401	0.8197	0.406	0.4546
v@GO0048518	h@GO0044237	11	0.7274	0.7624	0.4034	0.4228
v@GO0097159	h@GO0044237	21	0.7486	0.8197	0.4152	0.4546
